1000 3
1.634735796582916512e-01 -9.679179237157592652e+00 -1.634735796582916789e-01
1.680734425711308266e-01 -9.584359284605348250e+00 -1.680734425711308266e-01
1.727501340050177636e-01 -9.490273764507616505e+00 -1.727501340050177636e-01
1.775034520438652785e-01 -9.396926271812075626e+00 -1.775034520438652785e-01
1.823331525968047151e-01 -9.304319979266910678e+00 -1.823331525968047429e-01
1.872389490624828956e-01 -9.212457650133279330e+00 -1.872389490624828956e-01
1.922205120200117523e-01 -9.121341650720340866e+00 -1.922205120200117523e-01
1.972774689468428100e-01 -9.030973962742072203e+00 -1.972774689468427545e-01
2.024094039637669984e-01 -8.941356195491865222e+00 -2.024094039637669984e-01
2.076158576072685835e-01 -8.852489597834598101e+00 -2.076158576072685835e-01
2.128963266293837642e-01 -8.764375070012567548e+00 -2.128963266293837642e-01
2.182502638252495908e-01 -8.677013175265285483e+00 -2.182502638252495908e-01
2.236770778884473176e-01 -8.590404151259958709e+00 -2.236770778884473176e-01
2.291761332942798268e-01 -8.504547921333021065e+00 -2.291761332942797991e-01
2.347467502110413551e-01 -8.419444105539882983e+00 -2.347467502110413551e-01
2.403882044393764461e-01 -8.335092031513598343e+00 -2.403882044393764461e-01
2.460997273797386198e-01 -8.251490745130023896e+00 -2.460997273797386198e-01
2.518805060280034369e-01 -8.168639020980428711e+00 -2.518805060280033814e-01
2.577296829992015148e-01 -8.086535372649496622e+00 -2.577296829992015703e-01
2.636463565793834007e-01 -8.005178062799979344e+00 -2.636463565793834007e-01
2.696295808055374499e-01 -7.924565113062293165e+00 -2.696295808055374499e-01
2.756783655735318694e-01 -7.844694313730533608e+00 -2.756783655735318694e-01
2.817916767739581663e-01 -7.765563233263558018e+00 -2.817916767739581663e-01
2.879684364558068865e-01 -7.687169227592900000e+00 -2.879684364558068865e-01
2.942075230178111678e-01 -7.609509449236380618e+00 -2.942075230178112233e-01
3.005077714273499123e-01 -7.532580856219436072e+00 -3.005077714273499123e-01
3.068679734667041914e-01 -7.456380220803408676e+00 -3.068679734667041914e-01
3.132868780065216630e-01 -7.380904138022896355e+00 -3.132868780065216630e-01
3.197631913062433662e-01 -7.306149034031718337e+00 -3.197631913062433662e-01
3.262955773413109273e-01 -7.232111174259865827e+00 -3.262955773413109273e-01
3.328826581568689602e-01 -7.158786671381125011e+00 -3.328826581568689602e-01
3.395230142477480006e-01 -7.086171493093996077e+00 -3.395230142477480006e-01
3.462151849644045654e-01 -7.014261469715783903e+00 -3.462151849644045654e-01
